image_id,image_no,image_name,image_path,longitude,latitude,width,height,format,file_size_bytes
S2_000001,1,"-113.917243,51.101323.jpg",data\processed\images\S2_000001.jpg,-113.917243,51.101323,350,350,JPEG,23620
S2_000002,2,"-113.917264,50.966686.jpg",data\processed\images\S2_000002.jpg,-113.917264,50.966686,350,350,JPEG,21668
S2_000003,3,"-113.917465,51.051057.jpg",data\processed\images\S2_000003.jpg,-113.917465,51.051057,350,350,JPEG,22293
S2_000004,4,"-113.917555,51.071225.jpg",data\processed\images\S2_000004.jpg,-113.917555,51.071225,350,350,JPEG,28258
S2_000005,5,"-113.917557,51.165343.jpg",data\processed\images\S2_000005.jpg,-113.917557,51.165343,350,350,JPEG,20411
S2_000006,6,"-113.917628,51.015992.jpg",data\processed\images\S2_000006.jpg,-113.917628,51.015992,350,350,JPEG,21172
S2_000007,7,"-113.917675,51.136583.jpg",data\processed\images\S2_000007.jpg,-113.917675,51.136583,350,350,JPEG,20493
S2_000008,8,"-113.917733,50.908707.jpg",data\processed\images\S2_000008.jpg,-113.917733,50.908707,350,350,JPEG,22213
S2_000009,9,"-113.91774,50.982371.jpg",data\processed\images\S2_000009.jpg,-113.91774,50.982371,350,350,JPEG,24725
S2_000010,10,"-113.91777,50.901087.jpg",data\processed\images\S2_000010.jpg,-113.91777,50.901087,350,350,JPEG,34627
S2_000011,11,"-113.917791,51.148185.jpg",data\processed\images\S2_000011.jpg,-113.917791,51.148185,350,350,JPEG,20203
S2_000012,12,"-113.91782,50.896917.jpg",data\processed\images\S2_000012.jpg,-113.91782,50.896917,350,350,JPEG,45051
S2_000013,13,"-113.91787,51.069856.jpg",data\processed\images\S2_000013.jpg,-113.91787,51.069856,350,350,JPEG,25684
S2_000014,14,"-113.917915,50.952588.jpg",data\processed\images\S2_000014.jpg,-113.917915,50.952588,350,350,JPEG,30804
S2_000015,15,"-113.91793,51.091205.jpg",data\processed\images\S2_000015.jpg,-113.91793,51.091205,350,350,JPEG,26911
S2_000016,16,"-113.918016,50.978447.jpg",data\processed\images\S2_000016.jpg,-113.918016,50.978447,350,350,JPEG,22482
S2_000017,17,"-113.918098,50.962694.jpg",data\processed\images\S2_000017.jpg,-113.918098,50.962694,350,350,JPEG,25019
S2_000018,18,"-113.918145,50.925384.jpg",data\processed\images\S2_000018.jpg,-113.918145,50.925384,350,350,JPEG,25080
S2_000019,19,"-113.918155,51.129969.jpg",data\processed\images\S2_000019.jpg,-113.918155,51.129969,350,350,JPEG,15477
S2_000020,20,"-113.918213,50.96612.jpg",data\processed\images\S2_000020.jpg,-113.918213,50.96612,350,350,JPEG,22597
S2_000021,21,"-113.91823,50.90175.jpg",data\processed\images\S2_000021.jpg,-113.91823,50.90175,350,350,JPEG,38870
S2_000022,22,"-113.918231,50.982736.jpg",data\processed\images\S2_000022.jpg,-113.918231,50.982736,350,350,JPEG,24219
S2_000023,23,"-113.918231,51.154481.jpg",data\processed\images\S2_000023.jpg,-113.918231,51.154481,350,350,JPEG,19902
S2_000024,24,"-113.918272,51.150254.jpg",data\processed\images\S2_000024.jpg,-113.918272,51.150254,350,350,JPEG,18966
S2_000025,25,"-113.918292,50.911654.jpg",data\processed\images\S2_000025.jpg,-113.918292,50.911654,350,350,JPEG,21989
S2_000026,26,"-113.918307,50.973625.jpg",data\processed\images\S2_000026.jpg,-113.918307,50.973625,350,350,JPEG,24168
S2_000027,27,"-113.91831,51.088925.jpg",data\processed\images\S2_000027.jpg,-113.91831,51.088925,350,350,JPEG,24995
S2_000028,28,"-113.918315,51.112177.jpg",data\processed\images\S2_000028.jpg,-113.918315,51.112177,350,350,JPEG,23488
S2_000029,29,"-113.918347,51.097737.jpg",data\processed\images\S2_000029.jpg,-113.918347,51.097737,350,350,JPEG,24534
S2_000030,30,"-113.918383,51.148573.jpg",data\processed\images\S2_000030.jpg,-113.918383,51.148573,350,350,JPEG,20650
S2_000031,31,"-113.918397,51.150939.jpg",data\processed\images\S2_000031.jpg,-113.918397,51.150939,350,350,JPEG,18563
S2_000032,32,"-113.918463,50.954355.jpg",data\processed\images\S2_000032.jpg,-113.918463,50.954355,350,350,JPEG,30874
S2_000033,33,"-113.918488,51.163727.jpg",data\processed\images\S2_000033.jpg,-113.918488,51.163727,350,350,JPEG,23017
S2_000034,34,"-113.918522,50.941109.jpg",data\processed\images\S2_000034.jpg,-113.918522,50.941109,350,350,JPEG,23730
S2_000035,35,"-113.918547,51.114526.jpg",data\processed\images\S2_000035.jpg,-113.918547,51.114526,350,350,JPEG,23520
S2_000036,36,"-113.918624,51.133391.jpg",data\processed\images\S2_000036.jpg,-113.918624,51.133391,350,350,JPEG,18604
S2_000037,37,"-113.918658,50.953348.jpg",data\processed\images\S2_000037.jpg,-113.918658,50.953348,350,350,JPEG,29896
S2_000038,38,"-113.918729,50.905488.jpg",data\processed\images\S2_000038.jpg,-113.918729,50.905488,350,350,JPEG,39461
S2_000039,39,"-113.918739,51.023973.jpg",data\processed\images\S2_000039.jpg,-113.918739,51.023973,350,350,JPEG,15643
S2_000040,40,"-113.918766,51.104067.jpg",data\processed\images\S2_000040.jpg,-113.918766,51.104067,350,350,JPEG,21815
S2_000041,41,"-113.918807,51.16894.jpg",data\processed\images\S2_000041.jpg,-113.918807,51.16894,350,350,JPEG,18339
S2_000042,42,"-113.91887,51.095763.jpg",data\processed\images\S2_000042.jpg,-113.91887,51.095763,350,350,JPEG,24438
S2_000043,43,"-113.918882,50.914393.jpg",data\processed\images\S2_000043.jpg,-113.918882,50.914393,350,350,JPEG,37186
S2_000044,44,"-113.918887,50.941984.jpg",data\processed\images\S2_000044.jpg,-113.918887,50.941984,350,350,JPEG,23247
S2_000045,45,"-113.918943,51.117901.jpg",data\processed\images\S2_000045.jpg,-113.918943,51.117901,350,350,JPEG,24948
S2_000046,46,"-113.918944,50.943061.jpg",data\processed\images\S2_000046.jpg,-113.918944,50.943061,350,350,JPEG,22321
S2_000047,47,"-113.919038,50.978048.jpg",data\processed\images\S2_000047.jpg,-113.919038,50.978048,350,350,JPEG,22776
S2_000048,48,"-113.919071,51.024865.jpg",data\processed\images\S2_000048.jpg,-113.919071,51.024865,350,350,JPEG,15144
S2_000049,49,"-113.919082,51.019757.jpg",data\processed\images\S2_000049.jpg,-113.919082,51.019757,350,350,JPEG,17969
S2_000050,50,"-113.919127,51.156513.jpg",data\processed\images\S2_000050.jpg,-113.919127,51.156513,350,350,JPEG,16993
S2_000051,51,"-113.919298,51.01059.jpg",data\processed\images\S2_000051.jpg,-113.919298,51.01059,350,350,JPEG,21596
S2_000052,52,"-113.919314,50.915823.jpg",data\processed\images\S2_000052.jpg,-113.919314,50.915823,350,350,JPEG,43645
S2_000053,53,"-113.919319,51.083544.jpg",data\processed\images\S2_000053.jpg,-113.919319,51.083544,350,350,JPEG,23041
S2_000054,54,"-113.919333,51.04345.jpg",data\processed\images\S2_000054.jpg,-113.919333,51.04345,350,350,JPEG,28928
S2_000055,55,"-113.919371,51.09526.jpg",data\processed\images\S2_000055.jpg,-113.919371,51.09526,350,350,JPEG,24465
S2_000056,56,"-113.91947,51.146503.jpg",data\processed\images\S2_000056.jpg,-113.91947,51.146503,350,350,JPEG,23725
S2_000057,57,"-113.919555,51.099521.jpg",data\processed\images\S2_000057.jpg,-113.919555,51.099521,350,350,JPEG,23565
S2_000058,58,"-113.919589,51.099694.jpg",data\processed\images\S2_000058.jpg,-113.919589,51.099694,350,350,JPEG,23529
S2_000059,59,"-113.919619,51.113377.jpg",data\processed\images\S2_000059.jpg,-113.919619,51.113377,350,350,JPEG,22663
S2_000060,60,"-113.91963,50.955589.jpg",data\processed\images\S2_000060.jpg,-113.91963,50.955589,350,350,JPEG,26989
S2_000061,61,"-113.919666,50.95719.jpg",data\processed\images\S2_000061.jpg,-113.919666,50.95719,350,350,JPEG,25984
S2_000062,62,"-113.919704,51.066255.jpg",data\processed\images\S2_000062.jpg,-113.919704,51.066255,350,350,JPEG,24940
S2_000063,63,"-113.919735,50.979086.jpg",data\processed\images\S2_000063.jpg,-113.919735,50.979086,350,350,JPEG,23272
S2_000064,64,"-113.919795,51.164744.jpg",data\processed\images\S2_000064.jpg,-113.919795,51.164744,350,350,JPEG,22356
S2_000065,65,"-113.919872,50.95765.jpg",data\processed\images\S2_000065.jpg,-113.919872,50.95765,350,350,JPEG,25645
S2_000066,66,"-113.919944,51.005402.jpg",data\processed\images\S2_000066.jpg,-113.919944,51.005402,350,350,JPEG,19909
S2_000067,67,"-113.920094,50.977122.jpg",data\processed\images\S2_000067.jpg,-113.920094,50.977122,350,350,JPEG,23148
S2_000068,68,"-113.920193,51.008575.jpg",data\processed\images\S2_000068.jpg,-113.920193,51.008575,350,350,JPEG,21181
S2_000069,69,"-113.920259,51.172339.jpg",data\processed\images\S2_000069.jpg,-113.920259,51.172339,350,350,JPEG,19744
S2_000070,70,"-113.92029,51.135386.jpg",data\processed\images\S2_000070.jpg,-113.92029,51.135386,350,350,JPEG,20332
S2_000071,71,"-113.920346,51.021682.jpg",data\processed\images\S2_000071.jpg,-113.920346,51.021682,350,350,JPEG,19088
S2_000072,72,"-113.920443,50.939223.jpg",data\processed\images\S2_000072.jpg,-113.920443,50.939223,350,350,JPEG,23558
S2_000073,73,"-113.920524,51.155004.jpg",data\processed\images\S2_000073.jpg,-113.920524,51.155004,350,350,JPEG,19676
S2_000074,74,"-113.92058,50.987268.jpg",data\processed\images\S2_000074.jpg,-113.92058,50.987268,350,350,JPEG,20346
S2_000075,75,"-113.920587,51.122479.jpg",data\processed\images\S2_000075.jpg,-113.920587,51.122479,350,350,JPEG,22434
S2_000076,76,"-113.920594,51.131947.jpg",data\processed\images\S2_000076.jpg,-113.920594,51.131947,350,350,JPEG,21445
S2_000077,77,"-113.92063,50.90217.jpg",data\processed\images\S2_000077.jpg,-113.92063,50.90217,350,350,JPEG,43782
S2_000078,78,"-113.920643,50.912461.jpg",data\processed\images\S2_000078.jpg,-113.920643,50.912461,350,350,JPEG,27132
S2_000079,79,"-113.920743,51.076598.jpg",data\processed\images\S2_000079.jpg,-113.920743,51.076598,350,350,JPEG,27536
S2_000080,80,"-113.920766,51.046588.jpg",data\processed\images\S2_000080.jpg,-113.920766,51.046588,350,350,JPEG,30971
S2_000081,81,"-113.920805,51.098429.jpg",data\processed\images\S2_000081.jpg,-113.920805,51.098429,350,350,JPEG,25634
S2_000082,82,"-113.920839,51.134405.jpg",data\processed\images\S2_000082.jpg,-113.920839,51.134405,350,350,JPEG,21486
S2_000083,83,"-113.920909,51.114409.jpg",data\processed\images\S2_000083.jpg,-113.920909,51.114409,350,350,JPEG,24473
S2_000084,84,"-113.920953,50.968529.jpg",data\processed\images\S2_000084.jpg,-113.920953,50.968529,350,350,JPEG,22127
S2_000085,85,"-113.920963,50.932806.jpg",data\processed\images\S2_000085.jpg,-113.920963,50.932806,350,350,JPEG,21363
S2_000086,86,"-113.921016,50.944725.jpg",data\processed\images\S2_000086.jpg,-113.921016,50.944725,350,350,JPEG,22860
S2_000087,87,"-113.921024,51.154202.jpg",data\processed\images\S2_000087.jpg,-113.921024,51.154202,350,350,JPEG,21212
S2_000088,88,"-113.921025,51.002899.jpg",data\processed\images\S2_000088.jpg,-113.921025,51.002899,350,350,JPEG,19561
S2_000089,89,"-113.92103,50.895734.jpg",data\processed\images\S2_000089.jpg,-113.92103,50.895734,350,350,JPEG,48615
S2_000090,90,"-113.921055,51.074763.jpg",data\processed\images\S2_000090.jpg,-113.921055,51.074763,350,350,JPEG,30018
S2_000091,91,"-113.921209,50.988972.jpg",data\processed\images\S2_000091.jpg,-113.921209,50.988972,350,350,JPEG,18429
S2_000092,92,"-113.921209,51.034929.jpg",data\processed\images\S2_000092.jpg,-113.921209,51.034929,350,350,JPEG,23128
