location_id,city,latitude,longitude,location_type,aoi_width_m,aoi_height_m,target_resolution_m,aoi_min_lon,aoi_min_lat,aoi_max_lon,aoi_max_lat,utm_epsg
DEL_001,Delhi,28.6139,77.209,urban,2560.0,2560.0,10.0,77.1956761698698,28.602140902385955,77.22232668748836,28.625658018405694,32643
DEL_002,Delhi,28.7041,77.1025,mixed,2560.0,2560.0,10.0,77.08917483865544,28.692349932774714,77.11582803265958,28.715848973490523,32643
DEL_003,Delhi,28.5355,77.391,construction,2560.0,2560.0,10.0,77.3776684823015,28.523725272581206,77.4043343622095,28.54727366916014,32643
DEL_004,Delhi,28.6692,77.4538,industrial,2560.0,2560.0,10.0,77.44044421087258,28.65741898398348,77.46715865254694,28.68097995685058,32643
DEL_005,Delhi,28.5562,77.1,vegetation,2560.0,2560.0,10.0,77.08669483677927,28.54445086270439,77.11330801300747,28.567948050859385,32643
MUM_001,Mumbai,19.076,72.8777,urban,2560.0,2560.0,10.0,72.86539322174228,19.064299507487693,72.890005094042,19.08769985861142,32643
MUM_002,Mumbai,19.2183,72.9781,mixed,2560.0,2560.0,10.0,72.9657878469786,19.206604606954897,72.99041045337287,19.229994744043747,32643
MUM_003,Mumbai,19.2403,73.1305,construction,2560.0,2560.0,10.0,73.11819561386241,19.22861356332691,73.14280268354794,19.251985773454145,32643
MUM_004,Mumbai,19.0178,73.041,industrial,2560.0,2560.0,10.0,73.02870799411068,19.006109396295415,73.05329032710931,19.02948995825227,32643
MUM_005,Mumbai,19.0607,72.8698,water,2560.0,2560.0,10.0,72.8574939804652,19.048999135882678,72.88210433696294,19.072400231587594,32643
KOL_001,Kolkata,22.5726,88.3639,urban,2560.0,2560.0,10.0,88.35133961999455,22.560933779772462,88.37646245493455,22.584265359362817,32645
KOL_002,Kolkata,22.572,88.437,mixed,2560.0,2560.0,10.0,88.42443397140721,22.5603284859448,88.44956810319266,22.58367065969069,32645
